Tiempo (ms);Ángulo 1
0;36,21494293
17;36,16484451
34;35,45870209
51;34,11201096
68;32,17190933
85;29,68976021
102;26,71366692
119;23,29779816
136;19,49479866
153;15,35284615
170;10,9427309
187;6,365604877
204;1,71993506
221;-2,913225412
238;-7,45627594
255;-11,83220005
272;-15,97458458
289;-19,8360424
306;-23,38472939
323;-26,59187317
340;-29,42578697
357;-31,85305214
374;-33,83644485
391;-35,33123779
408;-36,29236221
425;-36,69225311
442;-36,53462982
459;-35,85132599
476;-34,6783371
493;-33,02736282
510;-30,88496017
527;-28,24481583
544;-25,13381767
561;-21,60441017
578;-17,71611786
595;-13,53123379
612;-9,118370056
629;-4,555240154
646;0,069121353
663;4,659368992
680;9,130702019
697;13,4185009
714;17,46430397
731;21,20514679
748;24,58672333
765;27,57250214
782;30,12940979
799;32,20658875
